Speaker,Talk(s)
Elif Shafak,The politics of fiction (TEDGlobal 2010)
Sonia Shah,3 reasons we still haven’t gotten rid of malaria (TEDGlobal 2013)
Ananda Shankar Jayant,Fighting cancer with dance (TEDIndia 2009)
Aditi Shankardass,A second opinion on developmental disorders (TEDIndia 2009)
Tom Shannon,Anti-gravity sculpture (TED2003)  The painter and the pendulum (TED in the Field 2009)
Toby Shapshak,You don't need an app for that (TEDGlobal 2013)
Tali Sharot,The optimism bias (TED2012)
Josette Sheeran,Ending hunger now (TEDGlobal 2011)
Michael Shermer,Why people believe weird things (TED2006)  The pattern behind self-deception (TED2010)
Sxip Shirey,"A performance with breath, music, passion (TED2008)"
"Stephanie ""Steve"" Shirley",Why do ambitious women have flat heads? (TED2015)
Clay Shirky,Institutions vs. collaboration (TEDGlobal 2005)  How social media can make history (TED@State 2009)  How cognitive surplus will change the world (TED@Cannes 2010)  Why SOPA is a bad idea (TEDSalon NY2012)  How the Internet will (one day) transform government (TEDGlobal 2012)
Ben Shneiderman,User Interfaces for Searching (TED1998)
Alan Siegel,Let's simplify legal jargon! (TED2010)
Steve Silberman,The forgotten history of autism (TED2015)
Jay Silver,"Hack a banana, make a keyboard! (TEDSalon NY2013)"
Joshua Silver,Adjustable liquid-filled eyeglasses (TEDGlobal 2009)
Nate Silver,Does racism affect how you vote? (TED2009)
Sarah Silverman,A new perspective on the number 3000 (TED2010)[25][26]
Taryn Simon,Photographs of secret sites (TEDGlobal 2009)  The stories behind the bloodlines (TEDSalon London Fall 2011)
Cameron Sinclair,My wish: A call for open-source architecture (TED2006) TED Prize  The refugees of boom-and-bust (TED2009)
Simon Sinek,Why good leaders make you feel safe (TED2014)
P.W. Singer,Military robots and the future of war (TED2009)
Peter Singer,The why and how of effective altruism (TED2013)
Pawan Sinha,How brains learn to see (TEDIndia 2009)
Sivamani,"Rhythm is everything, everywhere (TEDIndia 2009)"
Derek Sivers,"Weird, or just different? (TEDIndia 2009)  How to start a movement (TED2010)  Keep your goals to yourself (TEDGlobal 2010)"
Jeff Skoll,My journey into movies that matter (TED2007)
Anne-Marie Slaughter,"Can we all ""have it all""? (TEDGlobal 2013)"
Sleepy Man Banjo Boys,Teen wonders play bluegrass (TED@New York 2012)  Bluegrass virtuosity from ... New Jersey? (TED2013)
Gary Slutkin,Let's treat violence like a contagious disease (TEDMED 2013)
Amy Smith,Simple designs to save a life (TED2006)
Jeff Smith,Lessons in business ... from prison (TED@New York 2012)
Willie Smits,How to restore a rainforest (TED2009)
Lee Smolin,Science and democracy (TED2003)
Edward Snowden,Here's how we take back the Internet (TED2014)
Laura Snyder,The Philosophical Breakfast Club (TEDGlobal 2012)
Jill Sobule,"Global warming's theme song, ""Manhattan in January"" (TED2006)  The Jill and Julia Show (TED2007)"
Christopher Soghoian,Government surveillance — this is just the beginning (TED Fellows Retreat 2013)
Andrew Solomon,"Love, no matter what (TEDMED 2013)  How the worst moments in our lives make us who we are (TED2014)"
Somi,"The dancer, the singer, the cellist ... and a moment of creative magic (TED2015)"
Didier Sornette,How we can predict the next financial crisis (TEDGlobal 2013)
Alec Soth,This is what enduring love looks like (TED2015)
Michael Specter,The danger of science denial (TED2010)
Adam Spencer,Why I fell in love with monster prime numbers (TED2013)
Malte Spitz,Your phone company is watching (TEDGlobal 2012)
Marla Spivak,Why bees are disappearing (TEDGlobal 2013)
Morgan Spurlock,The greatest TED Talk ever sold (TED2011)
Paul Stamets,6 ways mushrooms can save the world (TED2008)
Andrew Stanton,The clues to a great story (TED2012)
Philippe Starck,Design and destiny (TED2007)
James Stavridis,A Navy Admiral's thoughts on global security (TEDGlobal 2012)
Alex Steffen,The route to a sustainable future (TEDGlobal 2005)  The shareable future of cities (TEDGlobal 2011)
David Steindl-Rast,Want to be happy? Be grateful (TEDGlobal 2013)
Nicholas Stern,The state of the climate — and what we might do about it (TED@Unilever 2014)
Michael Stevens,How much does a video weigh? (TED-Ed 2013)
Molly Stevens,A new way to grow bone (TEDGlobal 2013)
Bryan Stevenson,We need to talk about an injustice (TED2012)
Stew,"""Black Men Ski"" (TED2006)"
Rory Stewart,Time to end the war in Afghanistan (TEDGlobal 2011)
Sting,How I started writing songs again (TED2014)
Gregory Stock,To upgrade is human (TED2003)
Clifford Stoll,The call to learn (TED2006)
Jim Stolze,Can you live without the Internet? (TED University 2009)
Bill Stone,I'm going to the moon. Who's with me? (TED2007)
Kevin Stone,The bio-future of joint replacement (TED2010)
Bill Strickland,"Rebuilding a neighborhood with beauty, dignity, hope (TED2002)"
Steven Strogatz,The science of sync (TED2004)
Tristram Stuart,The global food waste scandal (TEDSalon London Spring 2012)
Daniel Suarez,The kill decision shouldn't belong to a robot (TEDGlobal 2013)
Pavan Sukhdev,Put a value on nature! (TEDGlobal 2011)
Kevin Surace,Eco-friendly drywall (TED2009)
James Surowiecki,The power and the danger of online crowds (TED2005)
Rachel Sussman,The world's oldest living things (TEDGlobal 2010)
Adora Svitak,What adults can learn from kids (TED2010)
Robert Swan,Let's save the last pristine continent (TEDGlobal 2014)
Fred Swaniker,"The leaders who ruined Africa, and the generation who can fix it (TEDGlobal 2014)"
Julia Sweeney,"Letting go of God (TED2006)  The Jill and Julia Show (TED2007)  It's time for ""The Talk"" (TED2010)"
Alex Tabarrok,How ideas trump crises (TED2009)
Jackie Tabick,The balancing act of compassion (TEDSalon 2009 Compassion)
Itay Talgam,Lead like the great conductors (TEDGlobal 2009)
Daniel Tammet,Different ways of knowing (TED2011)
Amy Tan,Where does creativity hide? (TED2008)
Chade-Meng Tan,Everyday compassion at Google (TEDPrize@UN 2010)
Nina Tandon,Caring for engineered tissue (TED2011) Could tissue engineering mean personalized medicine? (TEDGlobal 2012)
Don Tapscott,Four principles for the open world (TEDGlobal 2012)
Jill Tarter,Join the SETI search (TED2009)
Jill Bolte Taylor,My stroke of insight (TED2008)
Anastasia Taylor-Lind,Fighters and mourners of the Ukrainian revolution (TEDGlobal 2014)
Tyree Taylor,The power of love: a spark for community change (TEDxDepaul 2019)
Julie Taymor,"Spider-Man, The Lion King, and life on the creative edge (TED2011)"
Marco Tempest,"The magic of truth and lies (and iPods) (TEDGlobal 2011)  Augmented reality, techno-magic (TEDGlobal 2011)  A magical tale (with augmented reality) (TED2012)  The electric rise and fall of Nikola Tesla (TED2012)  A cyber-magic card trick like no other (TEDGlobal 2012)  And for my next trick, a robot (TED2014)"
Shashi Tharoor,Why nations should pursue soft power (TEDIndia 2009)
They Might Be Giants,Wake up! (TED2007)
Jer Thorp,Make data more human (TEDxVancouver 2011)
Sebastian Thrun,Google's driverless car (TED2011)
Robert Thurman,We can be Buddhas (TEDSalon 2006)
Skylar Tibbits,"Can we make things that make themselves? (TED2011)  The emergence of ""4D printing"" (TED2013)"
Michael Tilson Thomas,Music and emotion through time (TED2012)
Krista Tippett,(TEDPrize@UN 2010)
Anuj Tiwari,Past is not our future (TEDxCGCMohali)
Tânia Tomé,Succenergy Activate Your Energy Discover your Success Inside You (TED2017)
Eric Topol,The wireless future of medicine (TEDMED 2009)
Rokia Traoré,"""M'Bifo"" (TEDGlobal 2007)  ""Kounandi"" (TEDGlobal 2007)"
Ahn Trio,"A modern take on piano, violin, cello (TEDWomen 2010)"
Mena Trott,Meet the founder of the blog revolution (TED2006)
Steve Truglia,A leap from the edge of space (TEDGlobal 2009)
Natasha Tsakos,A multimedia theatrical adventure (TED2009)
Michael Tubbs,The political power of being a good neighbor (TED2019)
Gever Tulley,5 dangerous things you should let your kids do (TED2007)  Life lessons through tinkering (TED2009)
Luca Turin,The science of scent (TED2005)
Sherry Turkle,"Connected, but alone? (TED2012)"
Neil Turok,My wish: Find the next Einstein in Africa (TED2008) TED Prize
Tim Urban,Inside the mind of a master procrastinator (TED2016)
Varun Pradip Dave,Never let your dreams die (2021 TEDxPrahladnagar)[27]
Stephan Van Dam,Understanding Maps (2002)[citation needed]
Yossi Vardi,We're worried about local warming ... in your lap (TED2007)
Anand Varma,The first 21 days of a bee's life (TED2015)[28]
Naná Vasconcelos,Hidden music rituals around the world (TEDGlobal 2014)
Sadhguru Jaggi Vasudev,Majestic chaos (TEDIndia 2009)[29][30]
Nick Veasey,Exposing the invisible (TEDGlobal 2009)
James Veitch,This is what happens when you reply to spam email (TEDGlobal 2015) The agony of trying to unsubscribe (TEDSummit 2016)
Craig Venter,"Sampling the ocean's DNA (TEDGlobal 2005)  On the verge of creating synthetic life (TED2008)  Watch me unveil ""synthetic life"" (TED in the Field 2010)"
Abraham Verghese,A doctor's touch (TEDGlobal 2011)
Angelo Vermeulen,"How to go to space, without having to go to space (TEDGlobal 2014)"
Eva Vertes,Meet the future of cancer research (TED2005)
Xavier Vilalta,Architecture at home in its community (TEDGlobal 2013)
Martin Villeneuve,How I made an impossible film (TED2013)
Saša Vučinić,Why we should invest in a free press (TED2016)
Jimmy Wales,The birth of Wikipedia (TEDGlobal 2005)[31]
Jay Walker,My library of human imagination (TED2008)  The world's English mania (TED2009)
Karen Thompson Walker,What fear can teach us (TEDGlobal 2012)
Lucianne Walkowicz,Finding planets around other stars (TED2011) Let's not use Mars as a backup planet (TED2015)
Kelly Wanser,Emergency medicine for our climate fever (TEDSummit 2019)
Peter Ward,A theory of Earth's mass extinctions (TED2008)
Frank Warren,Half a million secrets (TED2012)
Rick Warren,A life of purpose (TED2006)
Abigail Washburn,Building US-China relations ... by banjo (TED2012)
James Watson,How we discovered DNA (TED2005)
Reggie Watts,Beats that defy boxes (TED2012)
Ruby Wax,What's so funny about mental illness? (TEDGlobal 2012)
Amy Webb,How I hacked online dating (TEDSalon NY2013)
Ursus Wehrli,Tidying up art (TED2006)
Spencer Wells,A family tree for humanity (TEDGlobal 2007)
Leana Wen,What your doctor won’t disclose (TEDMED 2014)
Margaret Wertheim,The beautiful math of coral (TED2009)
Geoffrey West,The surprising math of cities and corporations (TEDGlobal 2011)
Eric Whitacre,"A virtual choir 2,000 voices strong (TED2011)  Virtual Choir Live (TED2013)"
Romulus Whitaker,The real danger lurking in the water (TEDIndia 2009)
George Whitesides,Toward a science of simplicity (TED2010)
Edith Widder,"The weird, wonderful world of bioluminescence (TED2011)  How we found the giant squid (TED2013)"
Willard Wigan,Hold your breath for micro-sculpture (TEDGlobal 2009)
John Wilbanks,Let's pool our medical data (TEDGlobal 2012)
Richard Wilkinson,How economic inequality harms societies (TEDGlobal 2011)
C.K. Williams,Poetry of youth and age (TED2001)
Evan Williams,The voices of Twitter users (TED2009)
Jody Williams,A realistic vision for world peace (TEDWomen 2010)
E.O. Wilson,My wish: build the encyclopedia of ife (TED2007) TED Prize  Advice to young scientists (TEDMED 2012)
Taylor Wilson,"Yup, I built a nuclear fusion reactor (TED2012)  My radical plan for small nuclear fission reactors (TED2013)"
Steven Wise,Chimps have feelings and thoughts. They should also have rights (TED2015)
Siegfried Woldhek,The search for the true face of Leonardo (TED2008)
Gary Wolf,The quantified self (TED@Cannes 2010)
Nathan Wolfe,The jungle search for viruses (TED2009)  What's left to explore? (TED2012)
Stefan Wolff,The path to ending ethnic conflicts (TEDGlobal 2010)
Conrad Wolfram,Teaching kids real math with computers (TEDGlobal 2010)
Stephen Wolfram,Computing a theory of all knowledge (TED2010)
Diane Wolk-Rogers,A Parkland teacher's homework for us all (TED2018)
Daniel Wolpert,The real reason for brains (TEDGlobal 2011)
John Wooden,The difference between winning and succeeding (TED2001)
Robert Wright,Progress is not a zero-sum game (TED2006)  The evolution of compassion (TEDSalon 2009 Compassion)
Will Wright,"Spore, birth of a game (TED2007)"
Sheryl WuDunn,Our century's greatest injustice (TEDGlobal 2010)
Tom Wujec,"3 ways the brain creates meaning (TED2009)  Learn to use the 13th-century astrolabe (TEDGlobal 2009)  Build a tower, build a team (TED2010)  Got a wicked problem? First, tell me how you make toast (TEDGlobal 2013)"
Richard Saul Wurman,30th TED birthday celebration (TED2014)[32]
Ziauddin Yousafzai,"My daughter, Malala (TED2014)"
Ray Zahab,My trek to the South Pole (TED2009)
Paul J. Zak,"Trust, morality — and oxytocin? (TEDGlobal 2011)"
Benjamin Zander,The transformative power of classical music (TED2008)
Maysoon Zayid,I got 99 problems... palsy is just one (TEDWomen 2013)
Eva Zeisel,The playful search for beauty (TED2001)
Philip Zimbardo,The psychology of evil (TED2008)  The psychology of time (TED2009)  The demise of guys? (TED2011)
Jonathan Zittrain,The Web as random acts of kindness (TEDGlobal 2009)
Ethan Zuckerman,Listening to global voices (TEDGlobal 2010)
Marlene Zuk,What we learn from insects’ kinky sex lives (TEDWomen 2015)
